Id,SalePrice
1461,125370.06
1462,152941.02
1463,178376.48
1464,183081.81
1465,196021.0
1466,183825.7
1467,172648.78
1468,177541.3
1469,176190.44
1470,128772.336
1471,191558.33
1472,96142.18
1473,99492.36
1474,151150.6
1475,122464.22
1476,353237.34
1477,265930.62
1478,300432.16
1479,294758.47
1480,465109.34
1481,321602.97
1482,210663.62
1483,177263.58
1484,177515.03
1485,177656.22
1486,197198.66
1487,326057.47
1488,236292.1
1489,204787.6
1490,214557.83
1491,195442.78
1492,110087.41
1493,168080.31
1494,310384.34
1495,296991.66
1496,229881.22
1497,194958.31
1498,154127.14
1499,154368.42
1500,161838.53
1501,172350.19
1502,166478.06
1503,261302.53
1504,231658.38
1505,221345.31
1506,190851.27
1507,244157.83
1508,197151.61
1509,164966.38
1510,154385.66
1511,151001.83
1512,165754.16
1513,143813.86
1514,151691.0
1515,184448.3
1516,152431.83
1517,149141.52
1518,137019.69
1519,208649.66
1520,141127.62
1521,145267.16
1522,159864.3
1523,122649.95
1524,122142.18
1525,127232.58
1526,126982.52
1527,108957.1
1528,131902.0
1529,143275.05
1530,163911.31
1531,124641.766
1532,109864.1
1533,139137.8
1534,116822.03
1535,145213.52
1536,116809.47
1537,89880.18
1538,168880.67
1539,221770.81
1540,118069.64
1541,141180.6
1542,139149.3
1543,173306.16
1544,97776.19
1545,105589.29
1546,123065.01
1547,131941.47
1548,129738.94
1549,112843.67
1550,134444.38
1551,118080.41
1552,135353.33
1553,140186.36
1554,116575.13
1555,179350.7
1556,126372.32
1557,128977.305
1558,100370.086
1559,122214.555
1560,143610.42
1561,146011.03
1562,125576.52
1563,121204.1
1564,161099.94
1565,151749.69
1566,226796.98
1567,89604.67
1568,225778.95
1569,140970.33
1570,127883.67
1571,126208.1
1572,136864.66
1573,218262.17
1574,127527.516
1575,211321.06
1576,224100.16
1577,199537.92
1578,154418.19
1579,143607.16
1580,192050.19
1581,140738.5
1582,129649.6
1583,313502.38
1584,239026.14
1585,140565.06
1586,88212.93
1587,99650.12
1588,143910.73
1589,99829.11
1590,127921.63
1591,102051.69
1592,133505.28
1593,117066.0
1594,139047.28
1595,126494.18
1596,223359.27
1597,193794.98
1598,197283.6
1599,176030.86
1600,177125.05
1601,78290.19
1602,106277.91
1603,96631.16
1604,286031.34
1605,235587.34
1606,166969.48
1607,172449.12
1608,210934.56
1609,193340.92
1610,162918.95
1611,148400.31
1612,167666.89
1613,159419.64
1614,115227.1
1615,87117.23
1616,80002.2
1617,87940.016
1618,123100.555
1619,130433.83
1620,165274.6
1621,140105.75
1622,144228.78
1623,258421.55
1624,206822.19
1625,125157.195
1626,164289.55
1627,184177.08
1628,257821.25
1629,175649.55
1630,354083.84
1631,203591.66
1632,251396.55
1633,174720.38
1634,183900.66
1635,180436.31
1636,164257.6
1637,183296.64
1638,202189.12
1639,183273.0
1640,245934.12
1641,185390.17
1642,225852.61
1643,225228.81
1644,227439.7
1645,184625.89
1646,161291.06
1647,157588.08
1648,142702.31
1649,137367.14
1650,122731.35
1651,120039.16
1652,94777.88
1653,98523.56
1654,150240.03
1655,146302.06
1656,147909.12
1657,148998.8
1658,151205.78
1659,128344.9
1660,151440.61
1661,430884.16
1662,344696.47
1663,360155.7
1664,457850.3
1665,304469.34
1666,336750.7
1667,362470.1
1668,314329.03
1669,289303.1
1670,330123.3
1671,263599.38
1672,466774.38
1673,317648.6
1674,264331.47
1675,194220.44
1676,195969.27
1677,216609.28
1678,453140.7
1679,388976.34
1680,323442.56
1681,246842.25
1682,311267.78
1683,196019.6
1684,178076.84
1685,176801.2
1686,181432.2
1687,171925.67
1688,185633.83
1689,188906.3
1690,184216.73
1691,178211.95
1692,247356.72
1693,175973.44
1694,183776.52
1695,174587.83
1696,258279.02
1697,173498.66
1698,338692.4
1699,332996.62
1700,260605.03
1701,275409.84
1702,254757.58
1703,249003.14
1704,282404.72
1705,221021.47
1706,408856.56
1707,214479.33
1708,211781.8
1709,262882.62
1710,223884.73
1711,262374.72
1712,258545.77
1713,264260.0
1714,221842.78
1715,205850.73
1716,183396.12
1717,170646.44
1718,141062.89
1719,208272.42
1720,241290.16
1721,174034.39
1722,132250.28
1723,157674.47
1724,205999.0
1725,234432.92
1726,189839.39
1727,170432.31
1728,190101.31
1729,163168.33
1730,161653.52
1731,125456.805
1732,128433.54
1733,119024.836
